,run_ID,epoch_ID,loss,epoch_duration,run_duration,max_length,window_size,channel,f_c,depth,activation,lr,batch_size,epoch
0,1,1,104235250356715.52,0.12439990043640137,0.1948258876800537,793,10,4,5,2,ReLU(),0.01,32,20
1,1,2,78511624186101.77,0.12189745903015137,0.33683013916015625,793,10,4,5,2,ReLU(),0.01,32,20
2,1,3,75001994044702.72,0.12063908576965332,0.47684407234191895,793,10,4,5,2,ReLU(),0.01,32,20
3,1,4,73272575024824.31,0.12331104278564453,0.6207370758056641,793,10,4,5,2,ReLU(),0.01,32,20
4,1,5,72959374641070.08,0.12128973007202148,0.7614936828613281,793,10,4,5,2,ReLU(),0.01,32,20
5,1,6,72930914821734.4,0.12268805503845215,0.9047272205352783,793,10,4,5,2,ReLU(),0.01,32,20
6,1,7,72901039653191.69,0.1213371753692627,1.047379732131958,793,10,4,5,2,ReLU(),0.01,32,20
7,1,8,72888617030451.2,0.12189197540283203,1.1905097961425781,793,10,4,5,2,ReLU(),0.01,32,20
8,1,9,72877384710881.28,0.12231755256652832,1.3336811065673828,793,10,4,5,2,ReLU(),0.01,32,20
9,1,10,72862875470069.77,0.12066030502319336,1.4754445552825928,793,10,4,5,2,ReLU(),0.01,32,20
10,1,11,72854228139376.64,0.12059712409973145,1.6164453029632568,793,10,4,5,2,ReLU(),0.01,32,20
11,1,12,72810801723801.6,0.12203383445739746,1.7593612670898438,793,10,4,5,2,ReLU(),0.01,32,20
12,1,13,72751164795125.77,0.12158727645874023,1.9018981456756592,793,10,4,5,2,ReLU(),0.01,32,20
13,1,14,72693835087216.64,0.1204988956451416,2.0438601970672607,793,10,4,5,2,ReLU(),0.01,32,20
14,1,15,72659746510602.23,0.12116289138793945,2.1852102279663086,793,10,4,5,2,ReLU(),0.01,32,20
15,1,16,72649327222128.64,0.12048697471618652,2.327726125717163,793,10,4,5,2,ReLU(),0.01,32,20
16,1,17,72640979336232.95,0.1203765869140625,2.469395160675049,793,10,4,5,2,ReLU(),0.01,32,20
17,1,18,72626205142876.16,0.12064599990844727,2.6100313663482666,793,10,4,5,2,ReLU(),0.01,32,20
18,1,19,72595601715691.52,0.12039303779602051,2.748243570327759,793,10,4,5,2,ReLU(),0.01,32,20
19,1,20,72574940095119.36,0.12217497825622559,2.8904662132263184,793,10,4,5,2,ReLU(),0.01,32,20
20,2,1,136158389460664.31,0.12729477882385254,0.2001349925994873,793,10,4,5,2,ReLU(),0.01,64,20
21,2,2,95212578033500.16,0.12610960006713867,0.3453090190887451,793,10,4,5,2,ReLU(),0.01,64,20
22,2,3,97399061381120.0,0.12454605102539062,0.48894643783569336,793,10,4,5,2,ReLU(),0.01,64,20
23,2,4,94377299733381.12,0.12528371810913086,0.6329991817474365,793,10,4,5,2,ReLU(),0.01,64,20
24,2,5,89861794900213.77,0.12720274925231934,0.7800829410552979,793,10,4,5,2,ReLU(),0.01,64,20
25,2,6,89110146540503.05,0.12528610229492188,0.9250912666320801,793,10,4,5,2,ReLU(),0.01,64,20
26,2,7,87811842153512.95,0.12736082077026367,1.072500467300415,793,10,4,5,2,ReLU(),0.01,64,20
27,2,8,87727979328307.2,0.1254885196685791,1.2191441059112549,793,10,4,5,2,ReLU(),0.01,64,20
28,2,9,87668360168734.72,0.12604188919067383,1.3658437728881836,793,10,4,5,2,ReLU(),0.01,64,20
